name,status,Usage
Zjdg.cn,operating,Private
Graftec Electronics,operating,Public
SymbioCellTech,operating,Public
Royal Treatment Fly Fishing,operating,Private
Love Warrior Wellness Collective,operating,Private
Naubo,closed,Public
Scripted.com,operating,Private
mParticle,operating,Private
Manitex International,operating,Private
Genetics Squared,operating,Private
SafeView,operating,Public
Spinal USA,operating,Private
Fondeadora,operating,Private
The Preferred Prepaid,operating,Private
"Nanovis, Inc.",operating,Private
Royal Klasse Autos,operating,Private
Wipebook,operating,Private
AMT,operating,Private
Pinrose,operating,Private
GranData,operating,Private
CommunitySift,operating,Public
Longxun Changtian Technology,operating,Public
SageFire,closed,Public
NowPublic,operating,Public
Antavo,operating,Private
CloudCrowd,operating,Private
ioBridge,operating,Public
CDx Life,operating,Public
sentitO Networks,closed,Private
Stage 32,operating,Private
Shopwings,operating,Public
BiggiFi,operating,Private
Onstream Media,operating,Public
BoostSuite,operating,Private
Desafío Táctico,operating,Private
HERCAMOSHOP,operating,Public
Offset Options,operating,Public
Sharelook,closed,Public
utoopia,closed,Public
VGTI Florida,operating,Private
AdmitHub,operating,Private
BiometryCloud,operating,Private
Arisoko,operating,Public
"Woodenshark, LLC",operating,Private
gShift,operating,Private
Sojern,operating,Public
Food Reporter,operating,Public
Inocucor Technologies,operating,Private
BuyMyTronics.com,operating,Private
Free For Kids,operating,Private
Quantum Group,operating,Private
Brandsclub,closed,Private
Nanya Technology Corporation,operating,Private
Psydex,operating,Private
Cubeit,operating,Private
Ahometo,operating,Public
CollabNet,operating,Private
Cebix,operating,Public
Hampton Creek,operating,Public
uma information technology,operating,Private
Househappy,operating,Public
Chexology,operating,Private
Qwiqq,operating,Private
Eventus Systems,operating,Private
Baton Rouge Homes,operating,Private
Startupeando,operating,Private
Sandy Bottom Drink,operating,Public
Smart Load Solutions,operating,Public
AppTweak.com,operating,Public
MineralRightsWorldwide.com,operating,Public
Compufirst,operating,Public
ZAPITANO,closed,Public
mobilePeople,operating,Private
TeskaLabs,operating,Public
Plenummedia,operating,Private
GearTranslations,operating,Public
Sunamp,operating,Public
Netccm,operating,Public
Cyrano Sciences,closed,Private
Nemo,closed,Private
UltraWood Products Company,operating,Private
Verve Rehab,operating,Private
Cookunity,operating,Public
Vobile,operating,Public
Profitably,operating,Private
Rubysophic,operating,Private
FireLayers,operating,Private
NanoSteel,operating,Private
Ge.tt,operating,Public
Olygose,operating,Private
Wantr,operating,Public
Polyera,operating,Public
Xquva,operating,Private
HIPVILLA,operating,Private
ShareRoot,operating,Public
Mobile Pulse,operating,Private
SKY MobileMedia,operating,Public
make.tv,operating,Private
Crude Area,operating,Private
whodoyou,operating,Private
ETI International,operating,Public
PacketZoom,operating,Private
Beer52,operating,Private
Embrace Innovations,operating,Private
Ripple TV,operating,Private
Credit Sesame,operating,Private
Open CS,operating,Public
Jumpshot,operating,Private
Athlete IQ,operating,Public
NanoBio,operating,Public
Carro,operating,Private
Bizongo,operating,Private
KnowledgeVision,operating,Public
Camaloon,operating,Public
Eyetel Imaging,operating,Private
Little Riot,operating,Private
Axceler,operating,Private
Serenify,closed,Private
Tailored Republic,closed,Private
Epylon,operating,Private
DOZ,operating,Public
Skai,operating,Private
Zapproved,operating,Public
"BLUERIDGE Analytics, Inc.",operating,Public
FreeStride Therapeutics,operating,Private
Orderbook,operating,Private
Guesthouse Network,operating,Public
Smooch Labs Inc.,operating,Private
Telesta Therapeutics,operating,Public
FOREVERVOGUE.COM,operating,Public
Target Business Capital,operating,Public
Verticly,operating,Private
Angaza,operating,Private
AgilOne,operating,Private
Centice,operating,Private
SHEEX,operating,Private
USMD,operating,Private
Taia Global,operating,Public
Action Audio Apps,operating,Public
Silver Fox Events,operating,Private
Respirics,closed,Private
Semantics3,operating,Private
M Squared Lasers,operating,Private
neoSurgical,operating,Private
Dishable,operating,Public
Everest,operating,Private
Bixti.com,operating,Private
RAZ Mobile,operating,Private
FiveCubits,operating,Public
Larotec,operating,Private
Duck Duck Moose,operating,Public
Arts & Analytics,operating,Private
Learnerator,operating,Public
Organic Pizza Kitchen,operating,Private
WebStudiyo Productions,operating,Public
Outitude,operating,Public
Tesoro Enterprises,operating,Public
trinket,operating,Public
CarZen,operating,Private
MyTelemedicine.com,operating,Public
ORIC Pharmaceuticals,operating,Private
Datasnap.io,operating,Private
in2apps,operating,Private
Warwick Analytical Software Limited,closed,Private
VIP SOUL,operating,Public
Distributed Energy Management,operating,Private
Skyrider,closed,Private
RouterShare,closed,Private
Drone Aviation,operating,Private
Fastly,operating,Private
Physiostream,closed,Private
MediaCore,operating,Public
DooBop,operating,Public
"Radio Revolution Network, LLC",operating,Private
Delighted,operating,Private
Oshiboree,operating,Private
Secant Therapeutics,operating,Private
YOHO,operating,Public
PlayFirst,operating,Private
Maguru.dk,operating,Public
DoubleDutch,operating,Private
S.Chand & Company,operating,Public
Evergage,operating,Private
AllTranz,operating,Public
Global Analytics,operating,Public
Beijing iChao Online Science and Technology,operating,Private
Modenus Media,operating,Public
IceCream,operating,Public
Wave3Studio,operating,Private
LaunchCenter 39,closed,Private
Becker College,operating,Public
SOV Therapeutics,operating,Private
DogVacay,operating,Public
DemandTec,operating,Private
CanvasFilp,operating,Private
Cyto Wave Technologies,closed,Public
Charm City Food Tours,operating,Private
Digital Health Outcomes,operating,Public
VeriCenter,operating,Private
Mangstor,operating,Private
audibene,operating,Public
Inventure Enterprises,operating,Private
Gazillion Entertainment,operating,Public
Coradiant,operating,Public
Lifeables,operating,Public
"Likeminder, Inc.",operating,Public
Hobo Labs,operating,Private
BlueAnatomy,operating,Public
SBA Bank Loans,operating,Private
BorderX Lab,closed,Private
Banister Works,operating,Private
Harri,operating,Private
Phantom Fiber,operating,Private
GraphAlchemist,operating,Private
Arsenal Medical,operating,Private
A&L Technology,operating,Private
Jmdedu.com,operating,Public
IntelinAir,operating,Public
Zixi,operating,Public
Dodonation,operating,Private
Kotak Urja,operating,Public
Ninsight Broadcast,operating,Public
Morgan Daniels Training Ltd,closed,Public
Jaeger,operating,Private
BioMimetix Pharmaceutical,operating,Private
BOATHOUSE ROW SPORTS,operating,Public
Keiz Marshall Performing Arts Academy,operating,Public
Mithridion,closed,Private
Skyepack,operating,Public
ArrowPoint Communications,operating,Public
eTukTuk,operating,Public
Wiral Internet Group,closed,Public
RxData,operating,Private
Zefanclub,closed,Private
Synchronicity.co,operating,Private
All in One Medical,operating,Public
Trendy Butler,operating,Public
Flipora,operating,Private
TriState Capital,operating,Private
Vuzix,operating,Private
GetYou,operating,Private
Undercover Colors,operating,Private
Journeys,closed,Public
SafetyTat,operating,Public
Société Internationale de Plantations d'Hévéas,closed,Public
aXess america,operating,Public
Browsarity,operating,Private
ArtBinder,operating,Private
First V1sion,operating,Private
Seesmic,operating,Public
Irynsoft,operating,Public
OneCubicle,operating,Private
Emergent Payments,operating,Private
Fair Winds Brewing,operating,Public
Believe.in,operating,Private
MegaHoot,operating,Private
MedTel.com,operating,Public
Farmainstant,operating,Private
Bontact,operating,Public
UeeeU.com,closed,Public
OmniSky,operating,Private
3Dmena,operating,Private
iCatapult,operating,Public
SquadLocker,operating,Public
SameDay Security,operating,Private
peerfit,operating,Public
Toucan Global,closed,Private
Eve,operating,Public
ACTIV Financial Systems,operating,Private
NORCAT,operating,Private
ibabybox,closed,Public
Algenetix,operating,Public
eyetok,operating,Private
Sapience Analytics Private Limited,operating,Public
Red Mango,operating,Public
Myndbee Inc.,operating,Public
Matricore,operating,Public
YUME kids wear,operating,Private
Citydeal.de,operating,Public
isaac10 GmbH,operating,Public
IPLSHOP Brasil,closed,Private
Cazoodle,operating,Public
Reality Crowd TV Media Corporation,closed,Private
Cityblis,operating,Public
Keebitz,operating,Private
"Workiva, Inc.",operating,Public
MindEdge,operating,Private
Wrike,operating,Private
TUTORize,operating,Private
People Interactive (India),operating,Public
PSYLIN NEUROSCIENCES,operating,Public
Aidhenscorner,operating,Public
DoubleVerify,operating,Public
Versium,operating,Public
Achieve Financial Services,operating,Public
Playbuzz,operating,Private
FanTrail,closed,Private
Implicit Monitoring Solutions,operating,Public
US Toxicology,operating,Public
Omnireliant,operating,Public
Wiseryou,operating,Public
Ampex,operating,Public
Blueshift International Materials,operating,Private
Arctic Island LLC,operating,Public
Kapost,operating,Private
GiveGab,operating,Private
Antera Therapeutics,operating,Private
MECLUB,operating,Public
Koibanx,operating,Private
Fluency,operating,Public
WITS(MD),operating,Public
Vimessa,operating,Public
Solulink,operating,Public
Tailor Made Oil,operating,Public
Indochino,operating,Public
Wallix,operating,Private
Wivo,operating,Private
Averna,operating,Public
Overture Technologies,operating,Private
Bluespec,operating,Private
Boom Financial,operating,Private
DerbySoft,operating,Public
Matchmaker Videos,operating,Public
Brandwatch,operating,Public
OnSite Access,operating,Private
DvineWave,operating,Private
Kalibrr,operating,Private
Helios Towers Africa,operating,Public
SPF Solutions,operating,Private
wezzoo,operating,Private
Syndero,operating,Public
Ardelyx,operating,Private
Post-A-Vox,operating,Public
One On One,operating,Public
ACCESS Bill Pay Services,operating,Private
MacroGenics,operating,Private
Anthology Solutions,operating,Public
EcoPort,operating,Private
Training Intelligence,closed,Private
NXTM,closed,Private
Picofemto,operating,Public
Bancha,operating,Public
InfoReady,operating,Public
Virtual Web,closed,Public
Uklipz Social Media Inc,operating,Private
Manflu,operating,Private
Apani Networks,operating,Public
United LED Corporation,operating,Public
AirCell,operating,Public
Adjacent Applications,closed,Private
"MoveableCode, Inc.",closed,Private
Aptean,operating,Private
ClaraStream,operating,Private
Myngle,operating,Public
Plutio,operating,Public
Hydro-Photon,operating,Public
UsabilityTools,operating,Public
American Discount Pharmacy Crop,operating,Public
Testif,operating,Public
Endorse,operating,Private
Aniboom,operating,Public
ES Holdings,operating,Public
Frilp,operating,Public
Ucha.se,operating,Private
Immune Therapeutics,operating,Public
eeden,closed,Private
OneAccess,operating,Private
Xumii,operating,Private
Bamatea,operating,Private
VIP Parking,operating,Public
Ingeliance,operating,Private
tripMD,operating,Private
Iron Will Innovations,operating,Public
TicketFire,operating,Public
Afoundria,operating,Public
Specialized Tech,operating,Public
Lawnmower,operating,Public
The Ahtlete's Business Network,operating,Private
SBR Health,operating,Private
Energy Harvesters LLC,operating,Private
WetFeet,operating,Private
Seneco,operating,Private
TeleRetail Corporation,operating,Public
dacadoo,operating,Private
Money Forward,operating,Private
Enertec Systems,operating,Public
Accelerate Diagnostics,operating,Private
ArcSoft,operating,Private
E-Generator,operating,Public
Power OLEDs,operating,Public
Doctor At Work,operating,Private
Active Life Scientific,operating,Public
Moya Okruga,closed,Public
EsLife,operating,Public
Cordium,operating,Private
ExTractApps,closed,Public
SpotHero,operating,Private
Blowhorn,operating,Private
Loki Studios,operating,Private
BrightSide Software,closed,Private
GemShare,operating,Private
Raynforest,operating,Public
IBUonline,operating,Public
VSware,operating,Public
Ortopedio.pl,operating,Private
Comic Wonder,operating,Public
EXPO Communications,operating,Private
JamLegend,operating,Private
Brainlike,operating,Public
Marginize,operating,Private
ShoutEm,operating,Public
Yardbarker Network,operating,Public
Cloudintelligence,operating,Public
Apprats,closed,Private
NEURA Energy Systems,operating,Private
Observe Design,operating,Private
Food Quality Sensor International,closed,Public
CTS Media,operating,Private
payleven,operating,Public
MyGrove Media,operating,Private
BroadWare Technologies,operating,Private
Line-Up,operating,Public
Wish,operating,Public
Quartix,operating,Private
BragThis.com,closed,Private
Yagomart,operating,Public
Vylkira Games,operating,Private
Cinnamon Social,operating,Public
NexCura,operating,Public
Kippt,operating,Private
Advanced Marketing & Media Group,closed,Public
Stellarray,operating,Public
MainStreet Bank,operating,Private
Personera,operating,Public
Clio,operating,Public
HowDo,operating,Private
Mplife.com,operating,Public
Roojoom,operating,Private
Sideband Networks,operating,Public
getupp,operating,Public
TutorTap,operating,Private
Intelligent Mobile Support,operating,Private
Greendimes,operating,Private
Medpike,operating,Private
"Thoughtful Research, Inc.",closed,Private
Modern Guild,operating,Private
Furious Corp,closed,Public
Telnext Communications,closed,Private
Adelphic,operating,Public
Montondo Trailer,operating,Public
Wibbu,operating,Private
YouChe.com,operating,Private
Flexis,closed,Private
Pique Therapeutics,operating,Private
Circle Technology,operating,Public
CARsgen Therapeutics,operating,Private
CentrPort,operating,Private
NoteWagon,operating,Private
The Better Software Company,operating,Private
PriceWaiter,operating,Public
Atlantis Computing,operating,Private
MyOptique Group,operating,Public
Daintree Networks,operating,Public
start A FIRE,operating,Public
Green Earth Aerogel Technologies,operating,Public
6connect,operating,Public
BioScience,operating,Private
JustFab,operating,Public
MoneyLion,operating,Public
Dot Medical,operating,Private
Mondeca,operating,Private
JH Network,operating,Private
Blooom,operating,Private
Greenline Industries,operating,Public
Bonial International Group,operating,Private
Going Green Today,operating,Private
Adtile Technologies Inc.,operating,Public
Petizens.com,closed,Public
Socar,operating,Public
RenovoRx,operating,Public
Eka Systems,operating,Private
ZOOT,closed,Public
Certify Data Systems,operating,Private
Urbita,operating,Private
CopperGate Communications,operating,Public
fishfishme,operating,Private
Little,operating,Private
Govini,operating,Private
BidRazor,operating,Public
Handy,operating,Private
Vigme,operating,Private
RootsRated,operating,Private
DailyWorth,operating,Public
CromoUp,operating,Public
AgraQuest,operating,Public
TrenStar,operating,Private
Nanotech Semiconductor,operating,Public
BlueTurtleBio Technologies,operating,Private
UDR,operating,Private
EDP Biotech,operating,Private
Viirt,operating,Public
Gotta'go Personal Care Device,operating,Private
Hungrio,operating,Private
Fiveworx,operating,Public
Trapit,operating,Private
Breadcrumbtracking,operating,Public
How do you roll?,operating,Public
Autonet Mobile,operating,Public
Tourism4me,operating,Public
Tobuy,operating,Private
iHydrate,operating,Public
Linkfluence,operating,Private
Skyatlas,operating,Private
Panda Security,operating,Public
International Gaming League,operating,Private
FreeAgent,operating,Public
Mu Dynamics,operating,Private
Gigfairy,operating,Private
Datavail,operating,Private
EverString,operating,Public
NeuroBionics,closed,Public
mVakil - Track Court Cases Live,operating,Public
Monstar Lab,operating,Private
BedyCasa,operating,Public
Flow Traders,operating,Public
Playhem,operating,Private
CrowdRating,operating,Public
Nusirt,operating,Public
Cooper's Classics,operating,Public
SelfDrvn Enterprise Pte Ltd,operating,Private
Spock,operating,Private
Get your job!,operating,Private
Alpha (fitness),operating,Private
Touristlink,operating,Private
Aramsco,operating,Private
Simpirica Spine,operating,Private
XPD Media,operating,Public
Zoliro,operating,Private
Bidu Corretora,operating,Public
Cerapedics,operating,Public
Andoayudando.com,closed,Private
Ammado AG,operating,Public
GameTube,operating,Public
Diffusion Pharmaceuticals,operating,Public
Netherin Enterprises,operating,Private
BookDoc,operating,Private
ViewCast,operating,Private
SCONTO DIGITALE,operating,Private
Vtrim,operating,Private
Knowta,operating,Private
Shopilist,operating,Private
DameJidlo,operating,Public
Captain Wise,operating,Public
Novalys,operating,Private
Top100.cn,closed,Public
Petsy,operating,Private
ICE Technologies,operating,Public
Attender,operating,Private
Greener Expressions,operating,Public
Genuine People,operating,Private
Spectral Edge,operating,Public
Factual,operating,Public
Rockbot,operating,Public
MyPermissions,operating,Private
Shopear,operating,Private
Laiyaoyao,operating,Private
L2C,operating,Private
Organics Rx,operating,Private
Theranostics Health,operating,Private
ThinkSmart,operating,Public
RegeneMed,operating,Private
Tiger Pistol,operating,Private
TheFamily,operating,Public
MTPV,operating,Public
Control4,operating,Private
Surgery Center at Tanasbourne,operating,Private
Tasteful,operating,Private
B-Side Entertainment,closed,Public
Energy Focus,operating,Private
MoboFree,operating,Public
InstantQ,closed,Public
Genomic Vision,operating,Private
Antelope Surgical Navigation,operating,Public
SenseLabs (formerly Neurotopia),operating,Public
Undertone,operating,Public
Ozmosis,operating,Public
Class Travel Pty Ltd,operating,Private
LibriLoop,operating,Private
CloudWork,operating,Private
CEVEC Pharmaceuticals,operating,Public
CDI Bioscience,operating,Public
BriefCam,operating,Private
SummuS Render,operating,Private
ALUHEAT,operating,Private
PresseTrends.com,operating,Private
CloudAcademy,operating,Public
Blue Triangle Technologies,operating,Private
Vitalea Science,operating,Private
Dailymotion,operating,Private
Linkable Networks,operating,Private
Raymedica,operating,Private
Incluyeme.com,operating,Public
Accendo Therapeutics,operating,Private
"Yaga, Inc.",operating,Public
BestSecret.com,operating,Private
Outcomes for Children,operating,Private
Pinger,operating,Private
Shop pirate,operating,Public
WellTek,operating,Public
Hiveplay,operating,Public
"hopOn, Inc.",operating,Private
DVDPlay,closed,Private
120 Sports,operating,Public
Mr Banana,operating,Public
CliniCast,operating,Private
3sun,operating,Private
VATBox,operating,Public
Actionality,operating,Public
Valencell,operating,Public
Piku Media K.K.,operating,Public
Squirro,operating,Public
ProNewTech S.A.,closed,Public
SuiteLinq,operating,Public
DataGravity,operating,Public
Advalight,operating,Public
Ravenflow,operating,Public
Avalon Solutions Group,operating,Private
FRNZ labs,operating,Public
Streamworks Products Group(SPG),operating,Private
Worldzen Holdings,closed,Public
Poetica,operating,Public
PartyWithMe,operating,Private
HiveLive,operating,Public
Oldelft Ultrasound,operating,Private
Resonant Sensors Inc.,operating,Public
Pombai,closed,Private
Health2Sync,operating,Private
Eureka Therapeutics,operating,Private
Cybronics,operating,Private
Insureon,operating,Public
Trusted Opinion,closed,Public
Gemisimo,closed,Public
Toutiao,operating,Private
Genable Technologies Ltd.,operating,Public
Eat Kid Friendly,operating,Private
Indoorgo Navigation Systems ltd.,operating,Public
Medyria,operating,Public
Language Logistics,operating,Private
Chemayi,operating,Public
Tour Desk,operating,Public
Survios,operating,Private
"Ryan-O, Inc",operating,Public
Plutus Software,operating,Private
eSNF,operating,Public
RegulatoryBinder,operating,Public
EmployeeReferrals.com,operating,Public
Sirion Therapeutics,operating,Public
EstatesDirect.com,operating,Public
Koru,operating,Public
Onyvax,operating,Private
I & Combine,operating,Public
MarkMonitor,operating,Public
AdsWizz,operating,Public
Gaiacom Wireless Networks,closed,Public
artaculous,closed,Private
B-sm@rk,operating,Public
Polygon Games,operating,Private
Heavenly Foods,operating,Public
C4Robo,operating,Private
Limei Advertising,operating,Public
CareerImp,closed,Private
Brite Health,operating,Private
Stor Networks,operating,Public
Identification Solutions,operating,Private
Dyme.co,operating,Public
Unsocial,closed,Public
Wovn,operating,Private
RepUp,operating,Public
MyCheck,operating,Public
ConjuChem,operating,Public
Aiming,operating,Public
Zola,operating,Public
Litigain,operating,Public
Popularo,closed,Public
Hit Streak Music,operating,Public
John Carroll University,operating,Private
Glaxstar,operating,Public
Airsynergy,operating,Private
LiB,operating,Private
QBotix,closed,Public
TenXc Wireless,operating,Private
BlackStar Technologies,operating,Public
Dauntless Pharmaceuticals,operating,Private
The Optima,operating,Public
Quadia Online Video,operating,Private
SonarMed,operating,Private
Crowd Fusion,operating,Public
MotherKnows,operating,Private
Primary Real Estate Solutions,operating,Public
Shift Payments,operating,Private
Aegis Oil,operating,Private
Rhythm Networks,closed,Private
DIY Shop,operating,Public
Itaro,operating,Public
BasicGov Systems,operating,Private
Capital Match,operating,Private
Source3,operating,Private
Discoverly,operating,Private
CorkSharing,operating,Public
CureDM,operating,Public
The Surgical Center,operating,Private
BrabbleTV.com LLC,operating,Private
NexGear,operating,Public
Deminos,operating,Public
Bright Willow,operating,Public
Flypad,operating,Public
SmartSynch,operating,Public
Jottr,operating,Private
RegainGo,operating,Private
Akustica,operating,Public
Orthocone,closed,Private
SiliconStor,operating,Private
Tripshare,closed,Private
PhotoSecure,operating,Public
PayDragon,operating,Private
Pathogen Systems,operating,Public
Vouchercloud,operating,Private
Shizen Energy Inc.,operating,Private
TapZilla,closed,Public
AdWired,closed,Public
Acendre,operating,Private
Struq,operating,Private
Pepscan,operating,Private
One Africa Media,operating,Public
EveryMove,operating,Public
Australian American Mining Corporation,operating,Public
Micro Tempus Inc.,operating,Public
IQ Logic,operating,Private
Zhijiang Jonway Automobile,operating,Public
Pound Rockout Workout,operating,Private
nestpick,operating,Private
Fantasy Feud,operating,Private
Beijing Infinite World,operating,Public
Adstrix,operating,Public
Carbon Salon,operating,Public
Body Labs,operating,Public
Citizens Rx,operating,Public
Corventis,operating,Public
Ornicept,operating,Private
Global Yodel,operating,Private
Music Kickup,operating,Public
c6 Software Corporation,operating,Public
Masteriya,operating,Public
Better Schools Project,operating,Public
eTool.io,operating,Private
Prozo.com,operating,Public
Mpex Pharmaceuticals,closed,Public
HeadSense Medical,operating,Public
Chatty,operating,Public
Vendobots,operating,Public
EasyTek,operating,Private
Edison Nation,operating,Public
Solidagex,operating,Public
Nexosis,operating,Private
Concerto Healthcare,operating,Public
Pando Networks,operating,Public
Salix Pharmaceuticals,operating,Public
Teddy The Guardian,operating,Public
Tasted Menu,closed,Public
Trov,operating,Private
MobilyTrip,operating,Private
Snapbridge Software,operating,Private
CleveX,closed,Public
"Solebrity, Inc.",operating,Public
Socotra,operating,Public
Baxi,operating,Public
Zambah,operating,Private
Knomad,operating,Public
"Lend Street Financial, Inc.",operating,Private
Zepteon,operating,Public
MyFitnessPal,operating,Private
ExtremeOcean Innovation,operating,Public
Everyone Counts,operating,Private
Xerographic Document Solutions,operating,Public
Anchor Fabrication,operating,Private
AppsFunder,operating,Public
TransUnion,operating,Private
PHYSICIANS IMMEDIATE CARE,operating,Public
SoftGenetics,operating,Private
World Surveillance Group,operating,Public
makr,operating,Public
Agrostar,operating,Private
ActiveSec,operating,Private
Actus Digital,operating,Public
Benesight,operating,Private
Global Online Devices,operating,Public
Perez Forensic Strategies,operating,Private
CareDox,operating,Private
Attunity,operating,Public
LinkCloud,closed,Public
Greenling,operating,Public
Winnin,operating,Private
Simplificare,operating,Private
Emay Softcom,operating,Public
IASIS Healthcare,operating,Public
"Icagen, Inc.",operating,Private
Stylight,operating,Public
Rakuten,operating,Public
Community Leader,operating,Private
ThreatTrack Security,operating,Public
Unowhy,operating,Private
Jigsaw Meeting,operating,Public
Desert Industrial X-Ray,operating,Public
FASTNET,closed,Public
Gordian Surgical,operating,Public
geoLOGIC,operating,Private
Analyte Logic,operating,Private
Kinems Learning Games,operating,Private
IdenIve,operating,Private
Philoptima,operating,Private
Volance,operating,Private
Avidbank Holdings,operating,Private
Travel Desiya,operating,Private
Recommendo,operating,Private
Centrix Software,operating,Public
The Nature Conservancy,operating,Private
Ektitaby,operating,Private
Jordan Valley Semiconductors,operating,Public
Optichron,operating,Private
SMITH (formerly Ascentium),operating,Public
NEXT Co,operating,Private
AbsolutData,operating,Public
Sixth Domain,operating,Private
Eridan Technology,operating,Private
Mogi,operating,Private
Grab Media,operating,Public
Skribit,closed,Public
EgTran,closed,Public
Entropic,operating,Private
Grid20/20,operating,Public
Voyence,operating,Public
Xompass,operating,Private
OurOldGroup,operating,Private
Vir-Sec,operating,Private
Glowpoint,operating,Private
MicroPower Global,operating,Public
Mask.it,operating,Public
SafeShot Technologies,operating,Public
Kollabora,operating,Private
Mlog,operating,Private
BullseyeEngagement,operating,Private
Outsource Partners International,operating,Private
Mobile Patrol,operating,Public
Arkivum,operating,Private
Voy al Doc,operating,Private
Ambow Education,operating,Private
Life On Air,operating,Public
"Xylo, Inc",operating,Private
Nexamp,operating,Public
ClubKviar,operating,Public
Elderscan,operating,Private
PathCentral,operating,Public
Sovi,operating,Private
Spry Hive Industries,operating,Public
Hello Heart,operating,Private
Backupify,operating,Public
sulekha.com,operating,Private
Attainia,operating,Private
Pomello,operating,Public
Flirq,operating,Private
FuelFilm,operating,Public
RedSeguro,operating,Public
Hampoo Science & Technology,operating,Private
MBDC Media,operating,Private
Spinback,operating,Public
Zazoom Media Group,operating,Public
CompuPay,operating,Public
Taquilla,operating,Private
PulmOne,operating,Public
Apostrophe Apps,operating,Private
Live Life 360,operating,Public
